GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age,Size,Analysis
anicolson/DeepXi,Y,211,333,2301,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/anicolson/DeepXi/graphs/contributors shows that there are multiple contributors but 1 only contribute 1 commit,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/anicolson/DeepXi/issues/29 and https://github.com/anicolson/DeepXi/issues/43",https://github.com/anicolson/DeepXi/blob/master/LICENSE.txt is provided.,There are files related to testing,2,1938,Small,False
batra-mlp-lab/visdial-challenge-starter-pytorch,N,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,5,1895,Small,False
bureaucratic-labs/dostoevsky,Y,132,173,316,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/bureaucratic-labs/dostoevsky/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/bureaucratic-labs/dostoevsky/issues/37 and https://github.com/bureaucratic-labs/dostoevsky/issues/83",https://github.com/bureaucratic-labs/dostoevsky/blob/master/LICENSE is provided.,There are 2 files related to testing,4,1942,Small,False
Cadene/bootstrap.pytorch,Y,168,231,2866,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Cadene/bootstrap.pytorch/graphs/contributors shows that there are multiple contributors but mainly author,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,The project maintainers did not respond to most of the issues,https://github.com/Cadene/bootstrap.pytorch/blob/master/LICENSE.txt is provided.,There are many files related to testing.,6,1988,Small,False
ClementPinard/SfmLearner-Pytorch,Y,607,113,2622,The source code of the project exists as ad-hoc scripts.,https://github.com/ClementPinard/SfmLearner-Pytorch/graphs/contributors shows that there are multiple contributors but mainly author,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/ClementPinard/SfmLearner-Pytorch/issues/73 and https://github.com/ClementPinard/SfmLearner-Pytorch/issues/77.",https://github.com/ClementPinard/SfmLearner-Pytorch/blob/master/LICENSE is provided.,There are many files related to testing.,6,2161,Small,False
explosion/spacy-transformers,Y,744,811,1222,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/explosion/spacy-transformers/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and majority of the function in https://github.com/explosion/spacy-transformers/blob/master/spacy_transformers/align.py,Checking https://github.com/explosion/spacy-transformers/pulse/monthly there has been significant commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/explosion/spacy-transformers/issues/203",https://github.com/explosion/spacy-transformers/blob/master/LICENSE is provided,There are many files related to testing.,20,1517,Small,False
fizyr/keras-retinanet,Y,3815,1069,4646,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/fizyr/keras-retinanet/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and in functions at https://github.com/fizyr/keras-retinanet/blob/master/keras_retinanet/initializers.py and https://github.com/fizyr/keras-retinanet/blob/master/keras_retinanet/losses.py,Checking https://github.com/fizyr/keras-retinanet/pulse/monthly there has been 6 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/fizyr/keras-retinanet/issues/1402",https://github.com/fizyr/keras-retinanet/blob/master/LICENSE is provided,There are many files related to testing.,77,2229,Small,False
hunkim/PyTorchZeroToAll,N,3268,114,1281,"Poorly organized, general naming convention, doesn't explain modules",Multiple contributors: https://github.com/hunkim/PyTorchZeroToAll/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are documented",Few commits in the last month: https://github.com/hunkim/PyTorchZeroToAll/graphs/commit-activity,"More open issues than closed issues, author does not respond frequently",There is no license,There is no evidence of any testing done on the project.,12,2172,Small,False
jakeret/tf_unet,N,1604,209,967,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jakeret/tf_unet/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/jakeret/tf_unet/blob/master/LICENSE,There is no evidence of any testing done on the project.,12,2590,Small,False
jtyoui/Jtyoui,N,500,496,1475,The source code of the project exists as ad-hoc scripts.,Only one contributor: https://github.com/jtyoui/Jtyoui/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",Few commits in the past month,There are no open issues,https://github.com/jtyoui/Jtyoui/blob/pyunit/LICENSE,There is no evidence of any testing done on the project.,1,150,Small,False
keunwoochoi/kapre,Y,564,174,1621,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/keunwoochoi/kapre/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented","No commits the past month, active before that","More closed than open, author responds frequently: https://github.com/keunwoochoi/kapre/issues/68",https://github.com/keunwoochoi/kapre/blob/master/LICENSE.txt,There are many files related to testing.,9,2442,Small,False
LiberAI/NSpM,Y,117,149,2921,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/tensorflow/nmt/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,The maintainers of the project does not reply to issues or close them.,https://github.com/LiberAI/NSpM/blob/master/LICENSE is provided.,There are files related to testing but everywhere,13,2213,Small,False
lufficc/SSD,N,833,117,2807,The source code of the project exists as ad-hoc scripts.,https://github.com/lufficc/SSD/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lsds/KungFu/graphs/commit-activity shows there has been no activities in the past month,"The project maintainers respond to issues, as evidenced byhttps://github.com/lufficc/SSD/issues/150 and https://github.com/lufficc/SSD/issues/149",No license,One test file,9,1748,Small,False
MarkUsProject/Markus,Y,208,13542,2188,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MarkUsProject/Markus/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MarkUsProject/Markus/issues/4710 and https://github.com/MarkUsProject/Markus/issues/4473",https://github.com/MarkUsProject/Markus/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,162,4733,Small,False
microsoft/tf2-gnn,Y,188,147,4049,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/tf2-gnn/graphs/contributors show that there are 3 contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/gnn.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/models/graph_task_model.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/nodes_to_graph_representation.py have appropriate docstrings",https://github.com/microsoft/tf2-gnn/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,The author of the project does not reply to issues or close them.,https://github.com/microsoft/tf2-gnn/blob/master/LICENSE,There are many files related to testing,4,1297,Small,False
microsoft/Windows-Machine-Learning,Y,554,696,251,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,There are many files related to testing,46,2029,Small,False
Mini-Conf/Mini-Conf,Y,311,117,352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Mini-Conf/Mini-Conf/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Mini-Conf/Mini-Conf/issues/61 and https://github.com/Mini-Conf/Mini-Conf/issues/59",https://github.com/Mini-Conf/Mini-Conf/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,12,1164,Small,False
numenta/nupic.torch,Y,103,222,2752,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/numenta/nupic.torch/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/numenta/nupic.torch/blob/master/nupic/torch/models/sparse_cnn.py and https://github.com/numenta/nupic.torch/blob/master/nupic/torch/modules/prunable_sparse_weights.py and https://github.com/numenta/nupic.torch/blob/master/nupic/torch/modules/k_winners.py have appropriate docstrings,https://github.com/numenta/nupic.torch/graphs/commit-activity shows there are some activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/numenta/nupic.torch/issues/59 and https://github.com/numenta/nupic.torch/issues/58",https://github.com/numenta/nupic.torch/blob/master/LICENSE,There are files related to testing,10,1626,Small,False
NVIDIA/tacotron2,N,1837,134,1427,The source code of the project exists as ad-hoc scripts.,https://github.com/NVIDIA/tacotron2/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/tacotron2/issues/378 and https://github.com/NVIDIA/tacotron2/issues/379",https://github.com/NVIDIA/tacotron2/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,9,1967,Small,False
parlance/ctcdecode,N,312,159,238,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/parlance/ctcdecode/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a README and most of the functions in https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/decoder_utils.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/scorer.h and https://github.com/parlance/ctcdecode/blob/master/ctcdecode/src/ctc_beam_search_decoder.h have appropriate docstrings,https://github.com/parlance/ctcdecode/graphs/commit-activity shows that there are have been few activities in the past but some activities in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/parlance/ctcdecode/issues/151 and https://github.com/parlance/ctcdecode/issues/146",https://github.com/parlance/ctcdecode/blob/master/LICENSE,There are 2 files related to testing,15,2285,Small,False
persephone-tools/persephone,Y,114,1182,3791,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/persephone-tools/persephone/graphs/contributors shows that there are 4 contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/persephone-tools/persephone/blob/master/persephone/corpus_reader.py and https://github.com/persephone-tools/persephone/blob/master/persephone/corpus.py and https://github.com/persephone-tools/persephone/blob/master/persephone/results.py have appropriate docstrings,https://github.com/persephone-tools/persephone/graphs/commit-activity shows that there are have been few activities in the past but some activities in the past month,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/persephone-tools/persephone/issues/234 and https://github.com/persephone-tools/persephone/issues/231",https://github.com/persephone-tools/persephone/blob/master/LICENSE,There are many files related to testing,5,2397,Small,False
rusty1s/pytorch_scatter,Y,428,749,1357,The source code of this project has been organised into different modules in a way that shows the relationship between different files,Multiple contributors: https://github.com/rusty1s/pytorch_scatter/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author responds frequently",https://github.com/rusty1s/pytorch_scatter/blob/master/LICENSE,There are many files related to testing,25,2104,Small,False
silvandeleemput/memcnn,Y,140,268,2739,X Not much,X 1-2 active contributers,CircleCI used,Documentation provided,Commit activity not negligible,4 open << 35 closed,License provided,X Doesn't seem to have unit test,4,2028,Small,False
sisl/NeuralVerification.jl,Y,101,618,61,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers,Travis used,Most of the functions in the source code are not documented.,Commits are quite spread out,27 open < 36 closed,License provided,There are many files related to testing.,12,1852,Small,False
Tiiiger/QPyTorch,Y,100,223,4123,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Tiiiger/QPyTorch/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Tiiiger/QPyTorch/issues/31 and https://github.com/Tiiiger/QPyTorch/issues/21",https://github.com/Tiiiger/QPyTorch/blob/master/LICENSE is provided.,There are many files related to testing,7,1876,Small,False
tobybreckon/fire-detection-cnn,N,238,258,695,X The source code of the project exists as ad-hoc scripts.,"1-2 has significantly more commits than others, but 4 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,Commits are quite spread out,3 open < 40 closed,License provided,X Doesn't seem to have unit test,5,1867,Small,False
trekhleb/machine-learning-experiments,N,311,829,3292,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,X Most of the functions in the source code are not documented.,Quite alot of commits past month,"2 open, none closed",License provided,X Doesn't seem to have unit test,1,1404,Small,False
tristandeleu/pytorch-maml-rl,N,518,223,1710,Organised but not in modules,"1 has significantly more commits than others, but 3 contributers",X CI is not used on the project.,X not much,Quite alot of commits past month,6 open < 27 closed,License provided,X Doesn't seem to have unit test,4,1972,Small,False
udacity/CarND-Capstone,N,150,109,674,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"2 has significantly more commits than others, but 15 contributers",X CI is not used on the project.,X not much,Commit activity not negligible,33 open > 24 closed,License provided,X Doesn't seem to have unit test,21,2153,Small,False
Unity-Technologies/marathon-envs,Y,158,402,676,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Unity-Technologies/marathon-envs/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity but only recently,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/marathon-envs/issues/31 and https://github.com/Unity-Technologies/marathon-envs/issues/30",https://github.com/Unity-Technologies/marathon-envs/blob/master/LICENSE is provided.,Only found 1 test file,7,1825,Small,False
veaba/ncov,N,238,130,407,Organised but not in modules and few files,"1 main contributer, the other has 1 commit",X CI is not used on the project.,in chinese,Commit activity not negligible,17 open > 7 closed,License provided,X Doesn't seem to have unit test,3,1184,Small,False
xiaomiwujiecao/DataAnalysisInAction,N,326,106,1648,"folders named as numbers, inside each is a readme and maybe 1 other file","1 main contributer, the other has 1 commit",X CI is not used on the project.,in chinese,Commits are quite spread out,7 open > 6 closed,License provided,X Doesn't seem to have unit test,2,1734,Small,False
yehengchen/Object-Detection-and-Tracking,N,513,518,4368,organied by names that are not self explanatory,"1 main contributer, the other has 1 commit",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",45 open > 17 closed,License provided,A number,3,1617,Small,False
zhijian-liu/torchprofile,N,211,127,396,X The source code of the project exists as ad-hoc scripts,"2 main contributer, the other 2 has 1 commit",X CI is not used on the project.,X not much,Commits are quite spread out,1 open < 4 closed,License provided,X Doesn't seem to have unit test,5,1480,Small,False
